Area,Item,TIME,Consumption,Production
South Korea,SHEEP,1990,9563.0,14.0
South Korea,SHEEP,1991,7896.0,14.0
South Korea,SHEEP,1992,15467.0,29.0
South Korea,SHEEP,1993,11516.0,8.0
South Korea,SHEEP,1994,14189.0,7.0
South Korea,SHEEP,1995,12722.0,7.0
South Korea,SHEEP,1996,10887.0,7.0
South Korea,SHEEP,1997,9606.0,6.0
South Korea,SHEEP,1998,8067.0,5.0
South Korea,SHEEP,1999,6814.0,5.0
South Korea,SHEEP,2000,5701.0,4.0
South Korea,SHEEP,2001,4889.0,3.0
South Korea,SHEEP,2002,5699.0,3.0
South Korea,SHEEP,2003,5512.0,4.0
South Korea,SHEEP,2004,5978.0,4.0
South Korea,SHEEP,2005,6078.0,5.0
South Korea,SHEEP,2006,5838.0,6.0
South Korea,SHEEP,2007,5819.0,8.0
South Korea,SHEEP,2008,5730.0,13.0
South Korea,SHEEP,2009,5327.0,14.0
South Korea,SHEEP,2010,5665.0,17.0
South Korea,SHEEP,2011,6489.0,13.0
South Korea,SHEEP,2012,6701.0,13.0
South Korea,SHEEP,2013,6592.0,13.0
South Korea,SHEEP,2014,8692.0,10.0
South Korea,SHEEP,2015,10940.0,14.0
South Korea,SHEEP,2016,14390.0,6.0
South Korea,SHEEP,2017,19195.0,5.0
South Korea,SHEEP,2018,18835.0,6.0
South Korea,SHEEP,2019,19299.0,5.0
South Korea,SHEEP,2020,19317.0,4.0
South Africa,SHEEP,1990,168477.0,133000.0
South Africa,SHEEP,1991,169023.0,183600.0
South Africa,SHEEP,1992,178516.0,167900.0
South Africa,SHEEP,1993,164846.0,153500.0
South Africa,SHEEP,1994,196400.0,112500.0
South Africa,SHEEP,1995,155765.0,100400.0
South Africa,SHEEP,1996,164285.0,106500.0
South Africa,SHEEP,1997,163139.0,98400.0
South Africa,SHEEP,1998,161125.0,99000.0
South Africa,SHEEP,1999,186285.0,113100.0
South Africa,SHEEP,2000,164066.0,102300.0
South Africa,SHEEP,2001,146713.0,104000.0
South Africa,SHEEP,2002,145494.0,105000.0
South Africa,SHEEP,2003,143830.0,120000.0
South Africa,SHEEP,2004,166946.0,138900.0
South Africa,SHEEP,2005,166949.0,134900.0
South Africa,SHEEP,2006,178666.0,136100.0
South Africa,SHEEP,2007,208120.0,170000.0
South Africa,SHEEP,2008,198552.0,163700.0
South Africa,SHEEP,2009,185295.0,163200.0
South Africa,SHEEP,2010,175008.0,156400.0
South Africa,SHEEP,2011,163417.0,145800.0
South Africa,SHEEP,2012,171925.0,156200.0
South Africa,SHEEP,2013,192734.0,177850.0
South Africa,SHEEP,2014,202840.0,183970.0
South Africa,SHEEP,2015,188406.0,168200.0
South Africa,SHEEP,2016,188225.0,169395.0
South Africa,SHEEP,2017,172697.0,155803.0
South Africa,SHEEP,2018,171621.0,162250.0
South Africa,SHEEP,2019,170900.0,174170.0
South Africa,SHEEP,2020,172539.0,164950.0
South Korea,PIG,1990,0.0,550000.0
South Korea,PIG,1991,552615.0,530000.0
South Korea,PIG,1992,748458.0,752000.0
South Korea,PIG,1993,762231.0,770000.0
South Korea,PIG,1994,794642.0,786000.0
South Korea,PIG,1995,835256.0,799000.0
South Korea,PIG,1996,900375.0,886943.0
South Korea,PIG,1997,895847.0,895806.0
South Korea,PIG,1998,890936.0,939356.0
South Korea,PIG,1999,1030493.9999999999,996282.0
South Korea,PIG,2000,969216.0,915899.0
South Korea,PIG,2001,1013069.0,927692.0
South Korea,PIG,2002,1046943.0,1005192.0
South Korea,PIG,2003,1291640.0,1149000.0
South Korea,PIG,2004,1198860.0,959690.0
South Korea,PIG,2005,1177305.0,899392.0
South Korea,PIG,2006,1423507.0,1000000.0
South Korea,PIG,2007,1505964.0,1043000.0
South Korea,PIG,2008,1524596.0,1056000.0
South Korea,PIG,2009,1484984.0,1062000.0
South Korea,PIG,2010,1544080.0,1110000.0
South Korea,PIG,2011,1492185.0,837000.0
South Korea,PIG,2012,1551449.0,1086000.0
South Korea,PIG,2013,1633671.0,1252000.0
South Korea,PIG,2014,1665412.0,1200000.0
South Korea,PIG,2015,1819203.0,1217000.0
South Korea,PIG,2016,1901912.0,1266000.0
South Korea,PIG,2017,1934821.0,1280000.0
South Korea,PIG,2018,2007746.0,1329000.0
South Korea,PIG,2019,2050906.0,1364000.0
South Korea,PIG,2020,2074759.0,1403000.0
India,SHEEP,1990,602873.0,181200.0
India,SHEEP,1991,611178.0,184800.0
India,SHEEP,1992,619043.0,188400.0
India,SHEEP,1993,624178.0,193200.0
India,SHEEP,1994,626000.0,198000.0
India,SHEEP,1995,654640.0,202800.0
India,SHEEP,1996,663126.0,207600.0
India,SHEEP,1997,672931.0,213840.0
India,SHEEP,1998,678951.0,216000.0
India,SHEEP,1999,681613.0,218400.0
India,SHEEP,2000,677903.0,220800.0
India,SHEEP,2001,689710.0,223200.0
India,SHEEP,2002,692029.0,225600.0
India,SHEEP,2003,686235.0,229200.0
India,SHEEP,2004,715233.0,237600.0
India,SHEEP,2005,741193.0,246000.0
India,SHEEP,2006,766721.0,255480.0
India,SHEEP,2007,791771.0,264996.0
India,SHEEP,2008,772583.0,261600.0
India,SHEEP,2009,715045.0,256800.0
India,SHEEP,2010,759717.0,252000.0
India,SHEEP,2011,753881.0,247440.0
India,SHEEP,2012,743068.0,242040.0
India,SHEEP,2013,726758.0,237600.0
India,SHEEP,2014,717470.0,235224.0
India,SHEEP,2015,708951.0,248467.0
India,SHEEP,2016,722370.0,258335.0
India,SHEEP,2017,711407.0,261211.0
India,SHEEP,2018,713248.0,268191.0
India,SHEEP,2019,712850.0,276191.0
India,SHEEP,2020,720496.0,280751.0
Norway,PIG,1990,83792.0,83326.0
Norway,PIG,1991,86252.0,85469.0
Norway,PIG,1992,88305.0,91140.0
Norway,PIG,1993,92374.0,90083.0
Norway,PIG,1994,95663.0,91135.0
Norway,PIG,1995,100768.0,95824.0
Norway,PIG,1996,107141.0,103327.0
Norway,PIG,1997,101739.0,105390.0
Norway,PIG,1998,107053.0,106377.0
Norway,PIG,1999,99821.0,109143.0
Norway,PIG,2000,103936.0,102846.0
Norway,PIG,2001,110080.0,108727.0
Norway,PIG,2002,105393.0,103998.0
Norway,PIG,2003,109385.0,106007.0
Norway,PIG,2004,113505.0,113487.0
Norway,PIG,2005,117649.0,112793.0
Norway,PIG,2006,116148.0,116345.0
Norway,PIG,2007,125926.0,117735.0
Norway,PIG,2008,124638.0,122692.0
Norway,PIG,2009,123848.0,131977.0
Norway,PIG,2010,127891.0,137566.0
Norway,PIG,2011,131952.0,139799.0
Norway,PIG,2012,131250.0,131559.0
Norway,PIG,2013,129326.0,127516.0
Norway,PIG,2014,131882.0,128820.0
Norway,PIG,2015,139767.0,134669.0
Norway,PIG,2016,142106.0,137716.0
Norway,PIG,2017,141654.0,137250.0
Norway,PIG,2018,143537.0,137316.0
Norway,PIG,2019,145023.0,132242.0
Norway,PIG,2020,146666.0,131041.0
Ethiopia,SHEEP,1993,60607.0,35800.0
Ethiopia,SHEEP,1994,60517.0,35870.0
Ethiopia,SHEEP,1995,60161.0,35970.0
Ethiopia,SHEEP,1996,60558.0,36070.0
Ethiopia,SHEEP,1997,59288.0,36100.0
Ethiopia,SHEEP,1998,61683.0,36140.0
Ethiopia,SHEEP,1999,61395.0,36200.0
Ethiopia,SHEEP,2000,60398.0,36000.0
Ethiopia,SHEEP,2001,66134.0,37750.0
Ethiopia,SHEEP,2002,79386.0,47720.0
Ethiopia,SHEEP,2003,85270.0,53165.0
Ethiopia,SHEEP,2004,101425.0,60409.0
Ethiopia,SHEEP,2005,109451.0,68000.0
Ethiopia,SHEEP,2006,128209.0,79000.0
Ethiopia,SHEEP,2007,145049.0,85000.0
Ethiopia,SHEEP,2008,138189.0,81500.0
Ethiopia,SHEEP,2009,144274.0,85000.0
Ethiopia,SHEEP,2010,142616.0,86000.0
Ethiopia,SHEEP,2011,138295.0,85000.0
Ethiopia,SHEEP,2012,143842.0,86000.0
Ethiopia,SHEEP,2013,148137.0,87450.0
Ethiopia,SHEEP,2014,101709.0,93940.0
Ethiopia,SHEEP,2015,38553.0,93899.0
Ethiopia,SHEEP,2016,45383.0,98657.0
Ethiopia,SHEEP,2017,55940.0,100461.0
Ethiopia,SHEEP,2018,56098.0,105910.0
Ethiopia,SHEEP,2019,58801.0,127991.0
Ethiopia,SHEEP,2020,60044.0,137752.0
India,POULTRY,1990,391342.0,361800.0
India,POULTRY,1991,522365.0,493200.0
India,POULTRY,1992,540181.0,511200.0
India,POULTRY,1993,608148.0,576900.0
